GR_isbn,GR_date,GR_title,GR_rating,GR_ratings_count,GR_reviews,GR_published,GR_1_stars,GR_2_stars,GR_3_stars,GR_4_stars,GR_5_stars
9788076960008.0,2024-04-01 14:22:13,Jen jednou za věčnost by Martin Vopěnka,0.0,0.0,0.0,"January 1, 2023",,,,,
9788090818538.0,2024-04-01 14:22:16,Mezitah: Chyba lávky by Albert Maršík,0.0,0.0,0.0,"September 1, 2023",,,,,
9788026511854.0,2024-04-01 14:22:27,Náměsíční vrazi by Stanislava Veselá,4.15,41.0,3.0,"January 1, 2023",,,,,
9788026725114.0,2024-04-01 14:22:29,Kafe a chlup: Příběhy z kočičí kavárny by Michaela  Šalé,4.2,5.0,2.0,"January 1, 2023",,,,,
9788026449119.0,2024-04-01 14:22:35,Skutečné zločiny na Plzeňsku by František Müller,4.29,17.0,1.0,"September 21, 2023",,,,,
9788026725350.0,2024-04-01 14:22:39,"Devátý neznámý (Emily a komorník, #2) by Jan Gardner",3.18,11.0,2.0,"September 28, 2023",,,,,
9788026725220.0,2024-04-01 14:22:43,Hotel Atlantic by Barbora Šťastná,4.35,37.0,7.0,"January 1, 2023",,,,,
9788076911215.0,2024-04-01 14:22:48,Devatero hádek by Zuzana Koukalová,4.0,2.0,0.0,"September 25, 2023",,,,,
9788076910997.0,2024-04-01 14:22:53,Transmelancholie by Zašek,4.25,12.0,2.0,"September 11, 2023",,,,,
9788076910911.0,2024-04-01 14:23:00,Rozchodové řízení by Petr  Procházka,2.0,5.0,1.0,"September 11, 2023",,,,,
9788076900554.0,2024-04-01 14:23:05,Já papír vím o stromech… by Sona Kocianova,5.0,1.0,0.0,"January 1, 2023",,,,,
9788027517602.0,2024-04-01 14:23:13,Století na vlnách by Markéta Hejkalová,3.67,3.0,1.0,"January 1, 2023",,,,,
9788087720257.0,2024-04-01 14:23:22,"Hector (Jezdci apokalypsy, #4) by Marcy Jell",4.0,18.0,2.0,"February 1, 2024",,,,,
9788074434983.0,2024-04-01 14:23:27,Na cvičišti. Bojiště by Daniel Hradecký,4.0,8.0,3.0,"January 1, 2023",,,,,
9788027518043.0,2024-04-01 14:23:34,Transfer by Bianca Bellová,3.4,62.0,6.0,"January 1, 2023",,,,,
9788027724376.0,2024-04-01 14:23:38,Sudetenland by Leoš Kyša,3.7600000000000002,251.0,37.0,"September 27, 2023",,,,,
9788075464798.0,2024-04-01 14:23:46,Můj sexy šéf by Renáta Navrátilová,2.86,7.0,1.0,"January 1, 2023",,,,,
9788076339651.0,2024-04-01 14:23:49,Poslední Přemyslovna: Vzdor a láska princezny Anežky by Melita Denková,1.0,2.0,1.0,"January 1, 2023",,,,,
9788024290232.0,2024-04-01 14:23:54,Pláč němého boha - 2. svazek by Tereza Matoušková,4.5,16.0,4.0,"September 15, 2023",,,,,
9788027720613.0,2024-04-01 14:24:04,Černobyl: Pád Atomgradu by Matyáš Namai,4.27,56.0,40.0,"September 20, 2023",,,,,
9788075513045.0,2024-04-01 14:24:08,Wavesbury: Romance pod gilotinou by David Návara,4.0,1.0,0.0,"August 21, 2023",,,,,
9788024294094.0,2024-04-01 14:24:14,"Milost, pane prezidente by Josef Klíma",2.67,3.0,1.0,"November 1, 2023",,,,,
9788088436096.0,2024-04-01 14:24:18,Dvě prázdná místa by Zuzana Holčíková,3.71,7.0,1.0,"January 1, 2023",,,,,
9788027904709.0,2024-04-01 14:24:21,Dvojitý šach by Jan Michl,4.0,1.0,0.0,"January 1, 2023",,,,,
9788024952246.0,2024-04-01 14:24:23,Rozmarná Anglie aneb Nikdy není tak zle by Alena Damijo,5.0,2.0,0.0,"January 1, 2023",,,,,
9788027801299.0,2024-04-01 14:24:27,Likvidátor by Honza Slívka,4.22,9.0,1.0,"August 23, 2023",,,,,
9788026725442.0,2024-04-01 14:24:43,Krutý měsíc by Jana Jašová,4.45,22.0,2.0,"November 2, 2023",,,,,
9788027801329.0,2024-04-01 14:24:48,Mirzova vize by Josef Pecinovský,3.61,18.0,2.0,"August 25, 2023",,,,,
9788076625372.0,2024-04-01 14:24:51,Most špionů aneb má cesta z pekla ke svobodě by Jaroslav Javorský,4.0,1.0,0.0,"October 16, 2023",,,,,
9788026449591.0,2024-04-01 14:24:54,Neodpovídej... by Lucie Bechynková,2.95,150.0,27.0,"October 19, 2023",,,,,
9788024292847.0,2024-04-01 14:24:57,"Fialky, tajemství a jiné povídky by Daniela Fischerová",4.22,9.0,2.0,"September 1, 2023",,,,,
9788090795358.0,2024-04-01 14:25:02,Mýtinami by Klára Krásenská,4.55,11.0,0.0,"January 1, 2023",,,,,
9788076373983.0,2024-04-01 14:25:04,Přístav by Magdalena Rejžková,3.39,23.0,3.0,"September 1, 2023",,,,,
9788076374010.0,2024-04-01 14:25:07,Neviditelné řemeslo: Tajemství redakční práce by Jakub Sedláček,4.33,21.0,1.0,"October 1, 2023",,,,,
9788076374003.0,2024-04-01 14:25:12,Fosilie by Michal Kašpárek,4.14,318.0,36.0,"September 20, 2023",,,,,
9788075304391.0,2024-04-01 14:25:15,Vulturnus by Ewald Murrer,5.0,1.0,0.0,"January 1, 2023",,,,,
9788076018723.0,2024-04-01 14:25:23,Zapomenutá by Jiří Klečka,3.62,13.0,4.0,"October 23, 2023",,,,,
9788076373990.0,2024-04-01 14:25:34,Rozložíš paměť by Marek Torčík,4.43,301.0,39.0,"October 25, 2023",,,,,
9788090818859.0,2024-04-01 14:25:38,V šedi by Milada Střítezská,5.0,3.0,1.0,"January 1, 2023",,,,,
9788024952352.0,2024-04-01 14:25:48,Syn draka by Kristýna Freiová,1.0,1.0,1.0,"November 1, 2023",,,,,
9788024294148.0,2024-04-01 14:25:51,Octobriana by Marek Berger,4.0,1.0,0.0,"January 1, 2023",,,,,
9788088428329.0,2024-04-01 14:25:54,Vánoční povídky ze Šumavy by Karel Klostermann,4.0,1.0,1.0,"January 1, 2023",,,,,
9788076111226.0,2024-04-01 14:25:56,Gazely by Patrik Hartl,3.75,338.0,21.0,"October 13, 2023",,,,,
9788027909902.0,2024-04-01 14:26:03,"Probuzená šelma (Michal Dabert, #6) by František Niedl",4.0,2.0,0.0,"January 1, 2023",,,,,
9788024294124.0,2024-04-01 14:26:07,Římská jízda by Jan Drbohlav,2.5,2.0,1.0,"November 1, 2023",,,,,
9788075885142.0,2024-04-01 14:26:18,"Brutální béčkový masakr (Stará béčková legenda, #2) by Shigor Birdman",4.11,9.0,2.0,"September 18, 2023",,,,,
9788088488545.0,2024-04-01 14:26:23,Sto skořápek podruhé by Pavel Skořepa,4.33,3.0,2.0,"January 1, 2023",,,,,
9788074655999.0,2024-04-01 14:26:26,Voňavka by Robert Wudy,4.0,1.0,0.0,"January 1, 2023",,,,,
9788072444977.0,2024-04-01 14:26:45,První král by Ludmila Vaňková,5.0,1.0,0.0,"January 1, 2023",,,,,
9788011034887.0,2024-04-01 14:26:54,Formulista by Michaela Schmiedlová,4.17,71.0,16.0,"September 18, 2023",,,,,
9788075304407.0,2024-04-01 14:27:01,Pozastavené stmívání by Stanislav Dvorský,4.0,3.0,1.0,"January 1, 2023",,,,,
9788076950283.0,2024-04-01 14:27:04,Paní na Svojanově: Láska pevnější než kámen by Jaroslava Černá,1.0,2.0,2.0,"January 1, 2023",,,,,
9788027724017.0,2024-04-01 14:27:11,Gump - Jsme dvojka by Filip Rožek,4.38,32.0,4.0,"January 1, 2023",,,,,
9788074565441.0,2024-04-01 14:27:16,"Bílá jako sůl (Poslední velkoměsto, #5) by Vladimír Šlechta",4.33,6.0,0.0,"September 1, 2023",,,,,
9788088482178.0,2024-04-01 14:27:18,"Orfee, by Dominik Melichar",5.0,1.0,0.0,"January 1, 2023",,,,,
9788024952291.0,2024-04-01 14:27:22,Věci mezi lidmi a byty by David Budai,5.0,1.0,1.0,"October 1, 2023",,,,,
9788074565489.0,2024-04-01 14:27:27,Necrobox by Petr Heteša,3.8,5.0,3.0,"September 1, 2023",,,,,
9788011033576.0,2024-04-01 14:27:30,Sedmá vražda by Miroslav Skačáni,0.0,0.0,0.0,"January 1, 2023",,,,,
9788027606566.0,2024-04-01 14:27:33,"Případ ambiciózního démona (Mýtoversum, #1) by Martina Eretová",4.0,6.0,3.0,"October 27, 2023",,,,,
9788027151981.0,2024-04-01 14:27:39,Četi nejsou by Zdeněk Svěrák,3.2,5.0,1.0,"October 18, 2023",,,,,
9788027130658.0,2024-04-01 14:27:42,Praha v proměnách času by Petr Sojka,4.0,1.0,0.0,"October 26, 2023",,,,,
9788011035594.0,2024-04-01 14:27:46,Ztracenné by Michelle Losekoot,4.18,137.0,22.0,"January 1, 2023",,,,,
9788027722976.0,2024-04-01 14:27:54,Prokletá Mimzie by Tess M. Puffrová,4.7,10.0,2.0,"November 25, 2023",,,,,
9788074763106.0,2024-04-01 14:28:00,1492: Dobytí Granady by Lukáš Zárybnický,4.5,2.0,1.0,"January 1, 2023",,,,,
9788072157099.0,2024-04-01 14:28:03,Knihy básní by Vladimíra Čerepková,3.0,1.0,0.0,"January 1, 2023",,,,,
9788088437147.0,2024-04-01 14:28:16,Velký průšvih by Anna Beatrix Bártová,4.0,2.0,0.0,"January 1, 2023",,,,,
9788088363385.0,2024-04-01 14:28:23,Gaslighter by Markéta Harasimová,3.0,1.0,0.0,"January 1, 2023",,,,,
