autorstvo,titul,rok,pocet_stran
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1969,34
"Davidová, Olga",Pečeme na vánoce,1969,63
"Vrabec, Vilém",Velká kuchařka,1969,638
"Klimentová, Maryna",Vaření,1969,123
"Polnerová, Marie",Technologie pokrmů pro 3 ročník středních škol společného stravování,1969,182
"Šafářová, Eva",200 druhů pomazánek,1969,32
"Stropnický, Jiří",Technologie pro 2 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1969,204
"Pulec, Miloš Josef",Houby v kuchyni,1969,32
"Houžvička, Alois",Drůbeží speciality,1969,124
"Slabochová, Zdeňka",Dieta redukční,1969,55
"Roubíček, Jindřich",Skandinávská kuchyně,1969,143
"Sedláčková, Hana",Vaříme ve volném čase,1969,47
"Janeček, Zbyněk",Jakasčeho - skautská táborová kuchařka,1969,49
,Grilovaná jídla,1969,27
,Receptury mléčných nápojů a jídel,1969,177
,Elektrické spotřebiče k vaření a topení pro domácnost a podobné účely,1969,86
"Ježek, Bohuslav",Recepty pro houbaře labužníky,1969,47
"Doberský, Přemysl",Abychom netloustli,1970,313
"Matuška, P.",O nápojích od A do Z,1970,181
"Bartušek, Josef",Jihočeská kuchyně,1970,31
"Štorková, Hana",Vaříme na teflonové pánvi a v alobalu,1970,32
"Doberský, Přemysl",Dieta při nemocech močových cest,1970,44
"Doberský, Přemysl",Dieta při snížené kyselosti žaludeční šťávy,1970,47
"Hodač, Ervín",Staročeská kuchyně,1970,235
"Davidová, Olga",Vánoční pečivo,1970,31
"Hajková, Mária",Nová kuchařka,1970,373
"Hodač, Ervín",70 grilovaných jídel,1970,94
"Vrabec, Vilém",Velká kuchařka,1970,638
"Elstner, František Alexander",Zálesácká kuchyně,1970,213
"Břízová, Joza",Nová domácí kuchařka,1970,262
"Havel, František",Buchty koláče moučníky,1970,3
"Klimentová, Maryna",Lahůdky studené kuchyně,1970,63
"Vrabec, Vilém",Český kapr v teplé a studené kuchyni,1970,45
"Štěpánková, Soňa",70 domácích polévek,1970,85
"Páv, Jaroslav",Dieta při cukrovce,1970,48
"Pohunková, Hana",70 rybích jídel,1970,91
"Davidová, Olga",Domácí moučníky,1970,63
"Havel, František",Buchty koláče moučníky,1970,36
"Koreček, Ladislav",Československá kuchyně,1970,267
"Havelková, Marie",Zavařujeme,1970,31
"Žemličková, Gabriela",Lidová kuchyně,1970,9
"Hrubá, Marie",Kuchařka naší vesnice,1970,731
"Houžvička, Alois",Receptury teplých jídel,1970,461
"Nestával, Antonín",Speciality české moravské a slovenské kuchyně,1970,54
"Sedláčková, Hana",Technologie pokrmů pro 2 ročník středních škol společného stravování a pro střední hotelové školy,1970,199
"Kašparová, Eva",Letní večeře,1970,31
"Kafka, František",Večeře s vrahem,1970,157
"Herfort, Karel",Dieta pankreatická,1970,29
,Recepty rybího filé FRIONOR,1970,22
"Böhmová, Jaroslava",Moučníky a dezerty,1970,31
"Šimůnek, Jan",Základy veterinární receptury,1970,78
,Učební dokumenty pro učební obory,1970,1
"Hošková, Miloslava",Recepty černé kuchyně,1970,6
,Receptury s technologickými postupy,1971,676
"Straková, Anna",Co si uvaříme na velikonoce,1971,31
"Houžvička, Alois",Drůbeží speciality,1971,125
"Dašek, František",Gastronomický cestopis a recepty světové kuchyně pro kuchaře labužníky i turisty a jiné světoběžníky,1971,393
"Gurecký, Antonín",Cukrářské speciality,1971,158
"Stropnický, Jiří",Technologie pro 2 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1971,203
"Vnouček, Josef",Technologie pro 1 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1971,178
"Houžvička, Alois",Receptury mléčných nápojů a jídel,1971,177
"Pavlík, Miloslav",Recepty a rady pro dílny,1971,189
"Houžvička, Alois",Receptury studených jídel,1971,533
"Žák, Bronislav",Medicína bez receptu,1971,227
,Kuchařka ze sešitů domácího hospodaření,1971,219
"Davidová, Olga",Vánoční pečivo,1971,30
"Morávková, Miluše",Zimní večeře,1971,31
"Eybl, Vladislav",Obecná receptura a lékové formy,1971,74
"Zeman, Oldřich",Moučníky a cukroví,1971,133
"Smotlacha, Miroslav",Houby v přírodě a v kuchyni,1971,261
"Lenfeld, Jiří",Praktikum z receptury,1971,210
"Zapletal, Petar",Z muzikantské kuchyně aneb Jak si vaří kumštýři,1971,168
"Žemličková, Gabriela",Vaříme s Vitanou,1971,9
"Vnouček, Josef",Technologie přípravy pokrmů pro 3 ročník odborných učilišť a učňovských škol,1971,175
"Nestával, Antonín",Speciality české moravské a slovenské kuchyně,1971,54
"Linhart, Milan",Ruská kuchyně,1972,131
"Příhoda, Antonín",Houbařův rok,1972,393
"Bauer, Bohuslav",Receptury doplňků biofaktorů premixů a minerálních krmných doplňků vyráběných ve VHJ-SPOFA v roce 1972-1973,1972,86
"Štorová, Bohuslava",Vaříme pro dva,1972,30
"Vlachová, Libuše",Zelenina v kuchyni celého světa,1972,396
,Receptury teplých jídel,1972,461
"Sedláčková, Hana",Co z mléka a z mléčných výrobků,1972,32
"Klimentová, Maryna",Nová domácí kuchařka,1972,302
"Sedláčková, Hana",Domácí jídelníčky,1972,186
"Houžvička, Alois",Receptury jídel pro závodní stravování,1972,621
"Břízová, Joza",U stolu s paní MD Rettigovou,1972,243
"Skoupil, Jan",Technologie trvanlivého pečiva,1972,328
"Břízová, Joza",Nová domácí kuchařka,1972,279
"Břízová, Joza",Nová domácí kuchařka,1972,273
,Vydatné pokrmy,1972,32
"Martinicová, Jana",Francouzská kuchyně,1972,319
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1972,34
"Suchardová, Eva",Chlazené a zmrazené pokrmy ve stravovacích zařízeních,1972,28
"Moravec, Radim",Vaříme v přírodě,1972,247
"Böhmová, Jaroslava",Drůbež a zvěřina,1972,31
,Učební dokumenty pro učební obory,1972,57
"Žák, Bronislav",Medicína bez receptu,1972,233
"Kubálková, Hana",Strava vesnického lidu na středním Polabí,1972,45
"Žáček, Zdeněk",Vůně koření,1973,224
"Kašparová, Eva",Vaříme v autokempingu,1973,31
,Moderní mléčná kuchařka,1973,471
"Horký, Jaroslav",Dieta při chorobách jaterních,1973,48
"Šráčková, Danuše",Mléčná kuchyně,1973,26
"Lamačová, Věra",Pražská rodinná kuchařka,1973,236
"Stropnický, Jiří",Technologie pro 3 ročník odborných učilišť a učňovských škol,1973,275
"Havelková, Marie",Chutné pokrmy z brambor,1973,32
"Pelech, Ondrej",Domácí zabíjačka,1973,185
"Davidová, Olga",Vánoční pečivo,1973,31
"Tikal, Kamil",Úvod do receptury,1973,234
"Simonides, Jan",Recepty na útulný byt,1974,143
"Martinicová, Jana",Francouzská kuchyně,1974,319
"Vlachová, Libuše",Zelenina v kuchyni celého světa,1974,398
"Fialová, Juliana Anna",Kuchyně chovatele a zahrádkáře,1974,189
"Haľková, Jaroslava",Rozpracovaná osnova a metodické pokyny pro odborný výcvik učňů v oboru kuchař-kuchařka,1974,65
"Potácel, Jan",Otázky výroby ve veřejném stravování-současné tendence výživy,1974,47
"Doberský, Přemysl",Dieta po operaci žaludku,1974,55
"Doberský, Přemysl",Dieta při žaludečním kataru a zvýšené kyselosti žaludeční šťávy,1974,32
"Mařatka, Zdeněk",Dieta při zácpě a plynatosti,1974,30
"Páv, Jaroslav",Dieta při cukrovce a jejích komplikacích,1974,103
"Slabochová, Zdeňka",Dieta redukční,1974,59
"Válek, Jiří",Dieta proti ateroskleróze,1974,52
"Sarje, Irma",Grilujeme a udíme,1974,31
"Sedláčková, Hana",Rodinné večeře,1974,184
"Vlachová, Libuše",Receptury teplých a míšených nápojů,1974,206
"Syrový, František",Receptury teplých pokrmů,1974,657
,Receptury mléčných nápojů a pokrmů,1974,178
,Vaříme zdravě chutně a hospodárně,1974,260
,Dietní poživatiny,1974,204
,Podmínky mezinárodní přehlídky odbornosti oborů kuchař - cukrář - číšník,1974,55
"Ferjentsik, Koloman",Moderní kuchyně,1974,53
"Kuhn, Eduard",Dieta při vředové chorobě,1975,43
"Rodovský z Hustiřan, Bavor",Kuchařství to jest Knížka o rozličných krmích kterak se užitečně s chutí strojiti mají jakožto zvěřina ptáci ryby a jiné mnohé krmě,1975,193
"Šafářová, Eva",Vaříme celý rok,1975,30
"Karvánková, Jana",Čokoláda cukrovinky trvanlivé pečivo,1975,100
"Luskačová, Eva",Rychlé večeře,1975,31
"Hadašová, Eva",Úvod do obecné a speciální receptury pro praktická cvičení z farmakologie,1975,124
"Fialová, Juliana Anna",Česká kuchařka,1975,337
"Macháč, Milan",Stolničení pro odborná učiliště a učňovské školy učební obor kuchař kuchařka,1975,159
"Simonides, Jan",Kuchyňské koření jako koníček,1975,31
"Hořejší, Jaroslav",Dieta po infekční žloutence,1975,39
"Skála, Ivo",Dieta při chronickém selhání ledvin,1975,133
"Břízová, Joza",Nová domácí kuchařka,1975,273
"Havelková, Marie",Ovoce a zelenina ve skle,1975,173
"Lánská, Dagmar",Koření pro každé vaření,1975,254
"Vaništová, Olga",Nové směry v technologii centralizované výroby pokrmů,1975,52
"Fialová, Juliana Anna",Mezinárodní kuchařka,1975,252
,Vaříme zdravě chutně a hospodárně,1975,260
,Vzorové receptury jídel pro závodní stravování,1975,638
"Fejfar, Zdeněk",Dieta při hypertenzi,1976,45
"Štěpánková, Soňa",100 a 1 domácích polévek,1976,72
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1976,34
"Smotlacha, Miroslav",Houby v přírodě a v kuchyni,1976,261
"Davidová, Olga",Vánoční pečivo,1976,31
"Vrabec, Vilém",Velká kuchařka,1976,638
"Skála, Ivo",Dieta při chorobách střevních,1976,79
"Stropnický, Jiří",Technologie přípravy pokrmů pro 2 ročník,1976,330
"Slabochová, Zdeňka",Dieta redukční,1976,59
"Stropnický, Jiří",Technologie pro 2 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1976,199
"Kašparová, Eva",Předkrmy a saláty,1976,31
"Krupička, Jiří",Receptury studených pokrmů,1976,561
"Pleskotová, Petra",20000 let vaření,1976,115
"Böhmová, Jaroslava",Polotovary a konzervy nám usnadňují práci,1976,31
"Gurecký, Antonín",Cukrářské speciality,1976,158
"Srkala, Antonín",Flambování a dochucování pokrmů,1976,77
"Rejtharová, Alena",Dietní a diabetické výrobky potravinářského průmyslu,1976,38
"Straková, Marta",Dieta pro obézní děti a mladistvé,1976,72
,Život kolem valašské pece,1976,24
,Receptury dietních pokrmů,1976,963
,Prozatimní učební dokumenty učebních oborů skupiny 63,1976,92
,Prozatimní učební dokumenty učebních oborů skupiny 63,1976,100
"Fialová, Juliana Anna",Kuchyně labužníka,1977,293
"Moravec, Radim",Dietní výrobky v obchodě,1977,219
"Šonka, Jiří",Dieta při otylosti,1977,102
"Simonides, Jan",Stavba grilu a jeho použití,1977,142
"Stropnický, Jiří",Technologie pro 3 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1977,275
,Praktikum z receptury,1977,210
,Problematika výroby a využití zmrazených pokrmů pro společné stravování,1977,55
"Macháč, Milan",Stolničení pro odborná učiliště a učňovské školy učební obor kuchař kuchařka,1977,159
"Hrubá, Marie",Kuchařka naší vesnice,1977,749
,Racionalizace výroby pokrmů ve školním stravování,1977,148
"Vnouček, Josef",Technologie přípravy pokrmů pro 3 ročník odborných učilišť a učňovských škol,1977,175
"Řešátko, Jaroslav",Pokrmy upravené na roštu,1977,123
"Vrabec, Vilém",Z kuchyně našich přátel,1977,31
,Receptury mléčných nápojů a pokrmů,1977,221
"Lánská, Dagmar",Kuře na sto způsobů,1977,32
,Krajové speciality české moravské a slovenské kuchyně,1977,127
"Břízová, Joza",Nezapomínáte na med,1977,32
"Zeman, Oldřich",Moučníky a cukroví,1977,171
,Dietní kuchařka pro zaměstnanou ženu,1978,404
"Kocián, Jiří",Dieta při odvápnění kostí (osteoporóze a osteomalacii),1978,118
"Fialová, Juliana Anna",Česká kuchařka,1978,374
"Frolíková, Jana",100 a 1 bramborových jídel,1978,69
"Herfort, Karel",Dieta pankreatická,1978,31
"Tomaník, Miroslav",Čínská kuchyně,1978,143
,Lidové figurální pečivo,1978,36
"Karvánková, Jana",Čokoláda cukrovinky trvanlivé pečivo,1978,98
"Šafářová, Eva",Z kuchyně zahrádkářky,1978,31
"Stropnický, Jiří",Technologie pro 2 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1978,165
"Vnouček, Josef",Technologie pro 1 ročník odborných učilišť a učňovských škol učební obor kuchař kuchařka,1978,178
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1978,37
"Bořík, Otakar",Rukověť otolaryngologické receptury,1978,202
"Horký, Jaroslav",Dieta při chorobách jaterních,1978,48
,Vaříme zdravě chutně a hospodárně,1978,270
"Lánská, Dagmar",Čínská kuchyně 1,1978,21
"Kolaříková, Marie",Základy výživy a vaření pro mladé domácnosti,1978,51
"Fargašová, Irena",Ošetřování dietní a pohybová léčba otylých dětí,1978,16
"Rameš, Ivan",Základy dietního vaření pro diabetiky v praxi,1978,44
"Páv, Jaroslav",Jak žít a co jíst při cukrovce,1979,375
"Horký, Jaroslav",Dieta při chorobách jaterních,1979,48
"Hořejší, Jaroslav",Dieta po infekční žloutence,1979,39
"Břízová, Joza",Vaříme dětem,1979,195
"Syrový, František",Receptury teplých pokrmů,1979,663
"Hrubá, Marie",Kuchařka naší vesnice,1979,749
"Straková, Anna",100 a 1 ovocných pochoutek,1979,65
"Štěpánek, Pavel",Dieta při nemocech močových cest,1979,40
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1979,34
"Lánská, Dagmar",Koření pro každé vaření,1979,254
"Kosek, Oldřich",100 a 1 specialit z masa,1979,127
"Prošek, Zdeněk",Připravujeme zvěřinu,1979,31
"Vnouček, Josef",Technologie přípravy pokrmů pro 3 ročník odborných učilišť a učňovských škol,1979,171
"Vlachová, Libuše",Receptury teplých a míšených nápojů,1979,231
"Pecha, Ivo",Laboratorní cvičení pro odborná učiliště a učňovské školy,1979,150
"Poláková, Hana",Obaly a obalové materiály pro hotová jídla a polotovary,1979,24
,Průmyslová výroba polotovarů i hotových pokrmů a jejich využití ve společném stravování,1979,94
"Pokorný, Antonín",Kuchyně pro společné stravování,1979,175
"Dufková-Svejkovská, Milena",Vaříme moderně,1979,31
"Šafářová, Eva",Vaříme z luštěnin a obilovin,1979,31
"Stropnický, Jiří",Technologie přípravy pokrmů,1979,257
"Márová, Zdeňka",Dobrou chuť do roku 1979,1979,112
"Pelikán, Lubomír",Bezlepková dieta v léčbě celiakie,1979,32
"Verner, Ladislav",Receptury pokrmů z polotovarů REMA,1979,127
,Prozatimní učební dokumenty učebních oborů,1979,120
,Zmrazování jídel v závodním stravování v dopravě,1979,53
"Hostašová, Božena",Domácí konzervování ovoce a zeleniny,1980,273
"Čížková, Drahomíra",Grilování,1980,206
"Fialová, Juliana Anna",Mezinárodní kuchařka,1980,284
"Fialová, Juliana Anna",Kuchyně labužníka,1980,303
"Řešátko, Jaroslav",Pokrmy upravené na roštu,1980,124
,Receptury dietních pokrmů,1980,963
,Receptury studených pokrmů,1980,569
"Šafářová, Eva",100 a 1 pomazánek,1980,69
"Paulus, Josef",Ztráty při technologické přípravě pokrmů,1980,78
"Bastlová, Marie",Pokrmy v alobalu,1980,31
"Vlčková, Alena",99 specialit sovětské kuchyně,1980,159
"Hadašová, Eva",Úvod do obecné a speciální receptury pro praktická cvičení z farmakologie,1980,95
"Fischerová, Daniela",Žerty z kuchyně,1980,11
"Vrabec, Vilém",Saláty po celý rok,1980,31
,Inovace plynových a elektroplynových spotřebičů pro přípravu jídel jako součát vybavení kuchyňského nábytku,1980,129
"Márová, Zdeňka",Dobrou chuť do roku 1980,1980,1
,Prozatimní učební dokumenty učebních oborů,1980,13
"Svobodová, Jiřina",Zařízení s nižší spotřebou energie pro tepelnou přípravu jídel,1980,32
"Buryška, Jan",Pokyny pro pacienty s hyperlipoproteinemiemi,1980,27
,Záznamník chataře a chalupáře,1980,1
,Směrnice o hygienických požadavcích na výrobu skladování přepravu a podávání zmrazených a zchlazených hotových pokrmů pro společné stravování,1980,13
"Gábor, Mikuláš",Rozpracovaná učební osnova odborného výcviku pro tříletý učební obor kuchař,1980,125
"Čanda, Pavel",Vánoční pohlednice s recepty,1980,15
"Čanda, Pavel",Vánoční pohlednice s recepty,1980,15
"Čanda, Pavel",15 vánočních pohlednic,1980,15
"Čanda, Pavel",Ovocné speciality,1980,15
"Čanda, Pavel",Vánoční pohlednice s recepty,1980,15
"Čanda, Pavel",Sváteční moučníky,1980,15
"Břízová, Joza",Nová domácí kuchařka,1981,510
"Zahálka, Jaroslav",Balkánská kuchyně,1981,258
,Dietní kuchařka pro zaměstnanou ženu,1981,404
"Doberský, Přemysl",Dieta při snížené kyselosti žaludeční šťávy,1981,48
"Martinicová, Jana",Francouzská kuchyně,1981,359
"Herfort, Karel",Dieta pankreatická,1981,31
"Nodl, Ladislav",Studená kuchyně pro labužníky,1981,136
"Eybl, Vladislav",Obecná receptura a lékové formy,1981,78
"Teplý, Miloš",Moderní mléčná kuchařka,1981,359
,Vzorové receptury jídel pro závodní stravování,1981,638
"Švandrlík, Miloslav",99 národních specialit sovětské kuchyně,1981,132
"Skoupil, Jan",Zpracování mouky,1981,286
"Páv, Jaroslav",Dieta při cukrovce a jejích komplikacích,1981,108
"Vaněček, Jiří",Receptura pro mediky,1981,162
"Vlková, Marie",Moučníky,1981,31
"Vlachová, Libuše",Vaříme na víkendu,1981,322
,Rozvoj obalů a techniky balení pro hotové pokrmy a polotovary,1981,263
,Vaříme promyšleně,1981,102
"Pinková, Alice",Mraznička nám pomáhá,1981,31
"Baier, Jiří",Houby v kuchyních světa,1981,133
"Filipová, Lea",Večeře,1981,31
"Holas, Josef",Technologie přípravy pokrmů,1981,242
,Sborník materiálů ze 17 celostátní konference dietních pracovníků která se konala ve dnech 1-3 dubna 1981 v Brně,1981,139
"Sojková, Libuše",Metodické pokyny pro specifickou přípravu dívek,1981,31
"Řešátko, Jaroslav",Technologie - kuchař specialista,1981,304
"Pelikán, Lubomír",Bezlepková dieta v léčbě celiakie,1981,64
"Čumpelíková, Ludmila",Recepty lakto-vegetární mléčno-zeleninové stravy,1981,17
"Stránský, Jaroslav",Vánoční cukroví,1981,63
"Sůva, Josef",Lékové formy s recepturou pro stomatology,1982,173
"Herfort, Karel",Dieta pankreatická,1982,31
"Břízová, Joza",Pochutnejme si na polévce,1982,31
"Šráčková, Danuše",Mléčná kuchyně,1982,32
"Miltner, Vladimír",Indická kuchyně,1982,229
"Kosek, Oldřich",100 a 1 specialit z masa,1982,107
,99 sladkostí sovětské kuchyně,1982,118
"Doberský, Přemysl",Dieta při žaludečním kataru a zvýšené kyselosti žaludeční šťávy,1982,37
"Mařatka, Zdeněk",Dieta při zácpě a plynatosti,1982,30
"Kojecký, Zdeněk",Dieta při nemocech žlučníku,1982,39
,Kuchařka pro začátečníky,1982,367
"Vrabec, Vilém",Jihočeská houbařská kuchařka,1982,253
"Zahálka, Jaroslav",100 a 1 zeleninových jídel,1982,95
"Bréal, Pierre Aristide",Velká mela aneb francouzská kuchyně,1982,81
"Dufek, Oldřich",Vaříme chutně a pestře,1982,32
"Pinková, Alice",Cibule zelí a brambory pokaždé jinak,1982,31
"Sedláčková, Hana",Víkendové jídelníčky,1982,32
"Mikeš, V.",100 a 1 rybích jídel,1982,110
"Vlachová, Libuše",Receptury teplých a míšených nápojů,1982,227
"Vlachová, Libuše",Gratinované pokrmy,1982,32
"Valenta, Jaroslav",Kuchyňské potřeby,1982,70
,Dieta,1982,1020
"Peukertová, Drahomíra",Předpisy pro mou dceru,1983,32
"Pinková, Alice",Jak si udržet zdraví a mládí,1983,31
"Břízová, Joza",Vaříme dětem,1983,195
"Stropnický, Jiří",Technologie přípravy pokrmů pro 2 ročník středních hotelových škol studijní obor provoz hotelů a společného stravování,1983,257
"Balaštík, Jaroslav",Průmyslová výroba pokrmů,1983,343
"Fialová, Juliana Anna",Česká kuchyně tradiční i dnešní sváteční i všední,1983,232
"Chucesovová, Jiřina",Kuchyně kavkazských národů,1983,32
,Praktikum z receptury,1983,213
"Brhlík, Eduard",Technologie přípravy pokrmů pro 1 2 3 ročník středních odborných učilišť - studijní obor číšník servírka,1983,253
"Rakušanová, Jarmila",Ošetřování a kuchyňská úprava zvěřiny,1983,238
"Dufek, Oldřich",Pokrmy všední i sváteční,1983,252
,Dieta,1983,786
,Vaříme zdravě chutně a hospodárně,1983,366
"Fialová, Juliana Anna",Česká kuchařka,1983,447
"Linhart, Milan",Ruská kuchyně,1983,118
"Volkman, Alois",Bez receptů,1983,93
"Nouzová, Alena",Variace na kuchyně Orientu,1983,214
"Carles, Émilie",Polévka z divokých trav,1983,235
"Tomaník, Miroslav",Čínská kuchyně,1983,159
"Maruška, Pavel",Vaříme ze zeleniny,1983,227
"Doberský, Přemysl",Dieta po operaci žaludku,1983,58
,Sborník materiálů z 18 celostátní konference dietních pracovníků,1983,149
,Staročeský receptář v moderní kuchyni,1983,46
"Syrový, František",Receptury teplých pokrmů,1983,699
"Jánošovová, Martina",Slavnostní příležitosti,1983,226
"Lánská, Dagmar",Co vše z mletého masa,1983,32
,Zásady provozu a údržby velkokuchyňského zařízení,1983,156
,Sójová kuchařka,1983,61
"Kopáčková, Kristina",Jihočeská kuchyně 1,1983,42
,Pekařské výrobky,1983,125
"Hejda, Stanislav",Kuchařka pro začátečníky,1984,367
"Vrabec, Vilém",Saláty po celý rok,1984,32
"Matejka, Mikuláš",Technologie přípravy pokrmů pro 2 ročník SOU učební obor kuchař-číšník zaměření číšník,1984,132
"Syrový, František",Receptury mléčných nápojů a pokrmů,1984,223
,Výživa a stravování dětí předškolního věku,1984,832
"Brhlík, Eduard",Technologie přípravy pokrmů pro 2 ročník středních odborných učilišť učební obor kuchař-číšník zaměření kuchař a kuchař-číšník,1984,244
"Jagelek, Roman",Stolničení pro 1 ročník středních odborných učilišť učební obor kuchař-číšník kuchařka-servírka,1984,127
"Nestával, Antonín",Králík a drůbež,1984,32
"Pinková, Alice",Mraznička nám pomáhá,1984,32
"Sedláčková, Hana",Krajové pokrmy z Krkonoš a podhůří,1984,32
"Fialová, Juliana Anna",Rychlé pokrmy,1984,172
"Brhlík, Eduard",Technologie přípravy pokrmů pro 3 ročník středních odborných učilišť učební obor kuchař - číšník,1984,317
"Skála, Ivo",Dieta při chorobách střevních,1984,77
"Jakubāns, Andris",Večeře s klaunem,1984,195
"Fialová, Juliana Anna",Mezinárodní kuchařka,1984,284
"Lenfeld, Jiří",Receptorová teorie v klinické farmakologii,1984,40
"Hrubá, Marie",Kuchařka naší vesnice,1984,766
"Davidová, Olga",Vánoční pečivo,1984,32
"Kopáčková, Kristina",Japonská kuchyně,1984,32
"Peukertová, Drahomíra",100 a 1 zvěřinových jídel,1984,84
"Vlachová, Libuše",Ovocné moučníky a dezerty,1984,331
,Metodické doporučení k provádění vyhlášky č 677 Sb o ochraně jakosti povrchových a podzemních vod (část týkající se vodohospodářského zabezpečení nakládání se závadnými látkami),1984,80
"Srkala, Antonín",100 a 1 pokrmů z tlakového hrnce,1984,83
"Soukupová, Zora",Lidové pečivo z jižních Čech,1984,83
"Pohunková, Hana",Chladničky a mrazničky v domácnosti,1984,138
"Pösingerová, Marie",Italská kuchyně,1984,194
,Chutně s fantazií,1984,21
"Pinková, Alice",100 a 1 chutných salátů,1984,127
,Receptury s technologickými postupy,1984,831
,Receptury dietních pokrmů,1984,963
"Šafářová, Eva",Vejce ve studené i teplé kuchyni,1984,32
"Čanda, Pavel",Moučníky,1984,15
"Baudyš, Věnek",Guláš pokaždé jinak,1985,32
"Kott, Vladimír",Ovocné a zeleninové nápoje,1985,205
"Nestával, Antonín",100 a 1 krajových jídel,1985,89
"Vlachová, Libuše",Vaříme s moderní technikou,1985,32
,Staročeský receptář v moderní kuchyni,1985,48
"Nestával, Antonín",Bezmasé pokrmy,1985,32
"Prokopová, Libuše",Vařím vaříš vaříme,1985,104
"Břízová, Joza",Nová domácí kuchařka,1985,510
"Rameš, Ivan",Základní dietní návody pro nemocné cukrovkou,1985,47
"Břízová, Joza",Pochutnejme si na polévce,1985,32
"Kučera, Zdeněk",O výchově bez receptů,1985,96
"Tikal, Kamil",Úvod do receptury,1985,234
"Řešátko, Jaroslav",Kuchařská technologie,1985,313
"Verner, Ladislav",Receptury pokrmů z polotovarů REMA,1985,117
"Páv, Jaroslav",Jak žít a co jíst při cukrovce,1985,269
"Hořejší, Jaroslav",Dieta po infekční žloutence,1985,47
"Pinková, Alice",Neobyčejně z obyčejné zeleniny,1985,32
"Urban, Josef",Topinky pro každý den,1985,32
"Filipová, Lea",Ovoce,1985,31
"Šerý, Vladimír",Orientální kuchyně,1985,259
"Vrbatová, Vendy",100 a 1 chalupářských pochoutek,1985,109
,Prozatimní učební dokumenty učebních oborů,1985,120
"Hadašová, Eva",Úvod do obecné a speciální receptury pro praktická cvičení z farmakologie,1986,95
"Patlejchová, Eva",Dieta při odvápnění kostí (osteoporóze a osteomalacii),1986,126
"Šafářová, Eva",Pokrmy s vůní česneku,1986,32
"Rettigová, Magdalena Dobromila",Domácí kuchařka,1986,558
"Sedláčková, Hana",Učíme se vařit,1986,32
"Rettigová, Magdalena Dobromila",Domácí kuchařka,1986,558
"Vodičková, Jaroslava",Družstevní speciality české moravské a slovenské kuchyně,1986,246
"Felt, Vladimír",Interakce hormonů s receptory,1986,157
"Skála, Ivo",Dieta při zánětu a chronickém selhání ledvin,1986,154
"Urban, Josef",Sýrové a tvarohové pokrmy,1986,32
"Pinková, Alice",Mraznička nám pomáhá,1986,32
"Hajková, Mária",Moučníky,1986,303
"Sedláčková, Hana",Drůbež a drůbeží pochoutky,1986,217
"Bořík, Otakar",Rukověť otolaryngologické receptury =,1986,205
"Voldánová, Marie",Kuchařka na celý rok,1986,350
"Dufek, Oldřich",Svět u stolu,1986,32
"Vlčková, Alena",3 x 99 specialit sovětské kuchyně,1986,399
"Páv, Jaroslav",Dieta při cukrovce a jejích komplikacích,1986,108
"Fejfar, Zdeněk",Dieta při hypertenzi,1986,42
"Syrový, František",Receptury mléčných nápojů a pokrmů,1986,246
"Vlachová, Libuše",Receptury teplých a míšených nápojů,1986,227
"Dienstbier, Jan",O koření,1986,183
"Nejedlý, Bedřich",Kladenská nutričně definovaná tekutá výživa,1986,63
,Pestrý jídelníček po celý rok,1986,16
"Vrabec, Vilém",Jihočeská houbařská kuchařka,1986,344
,Rozhodl jsem se zařadit drůbež častěji do svého jídelníčku,1986,16
"Syrový, František",Receptury teplých pokrmů,1986,685
"Šimek, Jaroslav",Brambory a bramborové pokrmy,1986,196
"Kuxová, Anna",33x gurmánská kouzla z masa nutrií,1986,25
,Dietní závodní stravování,1986,113
"Hnátek, Jaroslav",Výživa a stravování dětí předškolního věku,1986,214
"Kosek, Oldřich",100 a 1 specialit z masa,1986,119
"Vlachová, Libuše",Vaříme pro slavnostní příležitosti,1986,30
"Válek, Jiří",Dieta proti ateroskleróze,1986,58
,Receptury s technologickými postupy,1986,832
"Pinka, Karel",Se sklenkou v ruce,1986,150
"Davidová, Olga",Vánoční pečivo,1986,32
,Sójová kuchařka,1986,61
"Lisek, Josef",Vaříme rychle a zdravě,1986,64
"Vlachová, Libuše",Pestré večeře,1986,32
,Několik slov jak vaří muži,1986,14
"Macháček, Miroslav",100 a 1 domácích večeří,1987,120
"Fialová, Juliana Anna",Česká kuchyně tradiční i dnešní sváteční i všední,1987,232
"Matejka, Mikuláš",Technologie přípravy pokrmů,1987,136
"Brhlík, Eduard",Technologie přípravy pokrmů,1987,253
"Filipová, Lea",Sváteční pečivo,1987,32
"Babička, Luboš",Lahůdky z rybí kuchyně,1987,32
"Vlachová, Libuše",Vaříme ve všední den,1987,32
