rok,jmeno,gender,titul
2023.0,Shigor Birdman,muž,Stará béčková legenda
2023.0,Tomáš Syrovátka,muž,Haškoviny
2023.0,Alena Štraubová,žena,Léto mezi řádky
2023.0,Jitka Štichauerová,žena,Na slyšenou
2023.0,Aleš Vogel,muž,Sám mezi ženami
2023.0,Tomáš Petrásek,muž,Azhareida
2023.0,Jakub Zachrdla,muž,Zbabělci a vrazi
2023.0,Zdeněk Řehák,muž,Boží potměšilost
2023.0,Halina Pawlowská,žena,Povídky o ženách
2023.0,Věra Krpálková,žena,V čase
2023.0,Petr Čepek,muž,Taxikář
2023.0,Libor Balák,muž,Katáriové: impérium lovců mamutů
2023.0,František Kalenda,muž,Zpověď posledního mnicha
2023.0,Petra Hůlová,žena,Nejvyšší karta
2023.0,Michaela Klevisová,žena,Vraní oko
2023.0,Patrik Madle,muž,Dominik lže!
2023.0,Naďa Horáková,žena,Čas madon
2023.0,Nofreeusernames,žena,Jsme nevyhnutelní
2023.0,Petra Lejsková-Langová,žena,Písnička pro Klaudii
2023.0,Karolína Meixnerová,žena,Národní opruzení
2023.0,Veronika Nechutná,žena,Povídky ze světa tvůrčího psaní
2023.0,Petra Martišková,žena,Síla obsidiánu
2023.0,Jaromír Marek,muž,Doba chemlonová
2023.0,Aleš Dostál,muž,Myslivecké povídky
2023.0,Věra Stejskalová,žena,"Co by bylo, kdybych se přestala bát"
2023.0,Martina Abrahámová,žena,"Snílkova kavárna, aneb, Příběhy zaslechnuté u cappuccina"
2023.0,Hana Whitton,žena,Anežka z Kuenringu
2023.0,Klára Teršová,žena,Až ke křížku
2023.0,Karolína Hubková,žena,Deník tramvajačky
2023.0,Eva Pospíšilová,žena,Letní bouřky
2023.0,František Tylšar,muž,Skutečné příběhy ze železnice
2023.0,Zuzana Dostálová,žena,Karneval zvířat
2023.0,Denisa Černá,žena,Poslední člověk na planetě Zemi
2023.0,Katka Havlíková,žena,"Lampář, lodivodka a kluk z továrny na slzy"
2023.0,Tereza Nováková,žena,Co se stalo Veronice
2023.0,Kateřina Panou,žena,Řecké štěstí
2023.0,Iva Kokinopulosová,žena,Sídliště Svět
2023.0,Tomáš Miklica,muž,Polistopad
2023.0,Petra Poncarová,žena,Libůstky a neřesti
2023.0,Eva Vychodilová,žena,Někdy je potřeba prohodit role
2023.0,Lenka Poláčková,žena,Co zpívá Sojka
2023.0,Ondřej Fanta,muž,Vraždy na dvojce
2023.0,Markéta Bolfová,žena,Kluk v kopačkách
2023.0,Roman Cílek,muž,Deset podob zrady
2023.0,Klára Vlasáková,žena,Těla
2023.0,Jan Horníček,muž,Vlkodlak
2023.0,Jan Švancara,muž,S malou pomocí přátel
2023.0,Ivana Hlubinková Kožmínová,žena,"Zoufalky, aneb, Rande jak cyp"
2023.0,Kamila Štěpánková,žena,CoolMom in da house
2023.0,Veronika Martinková,žena,Odsouzen k smrti
2023.0,Pavel Sekyrka,muž,Ve spárech Afrodity
2023.0,Dalibor Boubín,muž,Vlastní zákon
2023.0,Tomáš Klimek,muž,Vyplavená smrt
2023.0,Markéta Prášková,žena,Rozbité světy
2023.0,Rudolf Havlík,muž,Ostrov
2023.0,Klára Janečková,žena,V pasti
2023.0,Michal Březina,muž,Zlé časy
2023.0,Anna Riedlová,žena,Ndoto
2023.0,Tess M Puffrová,žena,Propast mezi námi
2023.0,Michaela Labáková,žena,Venkov
2023.0,Boris Steinbauer,muž,Smrtící obhajoba
2023.0,Jitka Slavíková,žena,Životní (s)milníky
2023.0,Martin Sládek,muž,Železné srdce
2023.0,Michaela Vaščíková,žena,Lvice v erbu krále
2023.0,Hynek Čapka,muž,Neviditelné kořeny
2023.0,Jana Jánská,žena,Mrazivá náruč
2023.0,Soňa Paleta,žena,Pražačka na vsi
2023.0,Martina Babišová,žena,Sundat se jak fénix
2023.0,Barbora Houfová,žena,Máme doma alkoholika
2023.0,Scarlett Wilková,žena,Ty chladné oči
2023.0,Adéla Rožek Elbel,žena,"Santiago, má lásko"
2023.0,Alexander Staffa,muž,Násilí
2023.0,Kateřina Pantovič,žena,Josefíně všichni lžou
2023.0,Kristýna Sládečková,žena,Smrková Tišina
2023.0,Artur Janoušek,muž,Sochař
2023.0,Andrea Rourke,žena,Když umřel Bowie
2023.0,Eva Dolejšová,žena,Feťáci
2023.0,Karel Cubeca,muž,Ohnivá stopa
2023.0,Vojtěch Záleský,muž,Převzetí
2023.0,Ondřej Nečas,muž,Stříbrný měsíc
2023.0,Zdeněk Grmolec,muž,Ghetto ve stínu zločinu
2023.0,Jakub Šponer,muž,Ekstase
2023.0,Irena Piloušková,žena,Buď hodná
2023.0,Antonín Mazáč,muž,Konzultant
2023.0,Valentýna Coufalová,žena,Svět v mé hlavě
2023.0,Nela Mičková,žena,Království v kameni
2023.0,Josef Pecinovský,muž,Mirzova vize
2023.0,Alexander Stainforth,muž,Past na ženicha
2023.0,Radek Starý,muž,Odkaz lidské rasy
2023.0,Petra Nachtmanová,žena,Psina s princem
2023.0,Josef Klíma,muž,"Milost, pane prezidente"
2023.0,Alžběta Bílková,žena,Balada mrtvého světa
2023.0,Veronika González,žena,Mezi nimi
2023.0,Irena Kellerová,žena,Alexandra
2023.0,Libuše Gottwaldová,žena,"Zastav se, než skočíš!"
2023.0,Jiří Dobrylovský,muž,Meč a pergamen
2023.0,Jan Drbohlav,muž,Římská jízda
2023.0,Elena Minářová,žena,Než zjistíš pravdu
2023.0,Petr Gruber,muž,Policajtem snadno a rychle
2023.0,Rudolf Hrušínský,muž,Agrometal
2023.0,Kristýna Freiová,žena,Syn draka
2023.0,David Budai,muž,Věci mezi lidmi a byty
2023.0,Petr Procházka,muž,Rozchodové řízení
2023.0,Václav Křivanec,muž,Sagittarius
2023.0,Eva Mašková,žena,Předloha pro vraždu
2023.0,Marie Jakoubková,žena,Koruna pro štěstí
2023.0,Jana Jurmanová,žena,Potrhlá dovolená
2023.0,Nora Eckhardtová,žena,"Kniha, kterou posypal hvězdný prach"
2023.0,Marie Horová,žena,Jak se do lesa volá
2023.0,Honza Slívka,muž,Likvidátor
2023.0,Martin Nezval,muž,Smát se nahlas
2023.0,Helena Žáková,žena,S kapkou medu
2023.0,Simona Bohatá,žena,Zbabělí hrdinové
2023.0,Zuzana Hubeňáková,žena,Bobky a fajnový koření
2023.0,Sarah Parsley,žena,Trnitá cesta
2023.0,David Jan Novotný,muž,Rozinky v blátě
2023.0,Miroslav Žamboch,muž,Koniáš & Bakly
2023.0,Vlaďka Sacká,žena,Koruna otráveného stromu
2023.0,Michaela Šalé,žena,Kafe a chlup
2023.0,Lucie Macháčková,žena,"Svatební historky, aneb, Jak jsem se nevdala"
2023.0,Jan Urban,muž,Hranice zvrhlosti
2023.0,Pavel Kolář,muž,Řeka pod hladinou
2023.0,Olga Krumlovská,žena,Duchové mezi námi
2023.0,Jitka Ludvíková,žena,Srdce z ledu
2023.0,Ota Sládek,muž,Kousni se do hlavy!
2023.0,Marta Kučíková,žena,Italské mentolky
2023.0,Iva Pekárková,žena,Kam jede tohle nástupiště
2023.0,Daniela Fischerová,žena,"Fialky, tajemství a jiné povídky"
2023.0,Klára Mandausová,žena,Proti srsti
2023.0,Helena Drdlová,žena,Když se mnou půjdeš tajgou
2023.0,Martin Sichinger,muž,Zítra přijde Olah
2023.0,Pavel Kohout,muž,Tajemství
2023.0,Dalibor Vácha,muž,Vilda
2023.0,Milena Durková,á,Bára krotí posádku
2023.0,Jakub Stanjura,muž,Srpny
2023.0,Petr Opršal,muž,Dokud nás krev nerozdělí
2023.0,Hope Marks,žena,Spoutej mě
2023.0,Jana Slaninová,žena,Kráva a kretén
2023.0,Petr Macek,muž,Sherlock Holmes & Poslední oběť Jacka Rozparovače
2023.0,Jakub Kohák,muž,Perly v botě
2023.0,Kateřina Rudčenková,žena,Tchyně nemá jazyk
2023.0,Radka Třeštíková,žena,"Kde jsi, když nejsi"
2024.0,Hana Marie Körnerová,žena,Znamení ohně
2024.0,Mirka Rezlerová,žena,Adam
2024.0,Štěpán Pudlák,muž,Hejt
2024.0,František Niedl,muž,Baron Trenck
2024.0,Dagmar Digma Čechová,žena,Nadechni se potřetí...
2024.0,Veronika Černucká,žena,Ukolébavka pro mou maličkou
2024.0,Václav Jabůrek,muž,V uniformě beránka
2024.0,David Věrný,muž,Bazén
2024.0,Marie Hamáková,žena,Dvě tváře lásky
2024.0,Renáta Navrátilová,žena,Cesta za láskou
2024.0,Vilém Koubek,muž,Zatloukání hřebů
2024.0,Vladimír Šlechta,muž,Nebezpečná Praha Rudolfa II.
2024.0,Martina Hohenberger,žena,Z pekla štěstí
2024.0,Jan Kotouč,muž,Centrální impérium: Omega
2024.0,Stanislav Češka,muž,Případ tří mrtvých bojovníků
2024.0,Emma Kausc,žena,Narušení děje
2024.0,David Glockner,muž,Vraždy na Grabštejně
2024.0,Miloň Čepelka,muž,Josefové
2024.0,Jakub Hoza,muž,Bez návratu
2024.0,Marcy Jell,žena,Score
2024.0,Marta Dancingerová,žena,Maluj můru nohama vzhůru
2024.0,František Kotleta,muž,Černá luna
2024.0,Dan Wlodarczyk,muž,Jitřní záře
2024.0,Marek Orko Vácha,muž,Když za nás Bůh netahá kaštany z ohně
2024.0,Lucie Jehličková,žena,Falešná lady
2024.0,Karolina Tůmová,žena,Modrá jako naděje
2024.0,Jakub Fránek,muž,Tropické noci
2024.0,Vojtěch Hlavenka,muž,Kód Mýtina
2024.0,Viola Twodová,žena,Zbytečné trápení
2024.0,Petr Urban,muž,Práh
2024.0,Zlatuše Marková,žena,Ala Luna
2024.0,Tereza Boučková,žena,Dům v Matoušově ulici
2024.0,Klára Czastková,žena,Dvakrát do stejného rybníka
2024.0,Martin Paytok,muž,"Láska, smrt a všechno zlý"
2024.0,Alena Damijo,žena,Srdečné pozdravy z Řecka
2024.0,Michal Ajvaz,muž,Pasáže
2024.0,Kateřina Karolová,žena,Dokonalé městečko
2024.0,Alžběta Bublanová,žena,Starosta
2024.0,Jan Kholl,muž,Pusťte světlo do tmavého večera
2024.0,Lucie Kunešová,žena,Ztracena v čase
2024.0,Daniel Krásný,muž,Druhý dech
2024.0,Marek Toman,muž,České sklo
2024.0,Marie Domská,žena,Nejasné hranice
2024.0,Blanka Luxová,žena,Je to jenom sranda
2024.0,Petr Eidler,muž,Kandidáti na vraha
2024.0,Aleš Novotný,muž,Úděsné dny Adély H.
2024.0,Jiří Březina,muž,Labuť a lovec
2024.0,Adéla Rosípalová,žena,Lásky čas
2024.0,Michal Sabó,muž,Krvavý sníh
2024.0,Kateřina Chalupníková,žena,MaminkOFF
2024.0,Aneta Kollerová Mašková,žena,Každý den je Valentýn
2024.0,Kristýna Trpková,žena,Někdo z nás
2024.0,Lucie Srňánková,žena,"Ano, pane Božský"
2024.0,Lucie Hušková,žena,Kolem dokola
2024.0,Ondřej Ušel,neá,Země růží
2024.0,Šárka Andrlová,žena,Tajemství domu v L.
2024.0,Ilona Dobrovolná,žena,Panoptikum pana Perkinse
2024.0,Tereza Bartošová,žena,Dceřina kletba
2024.0,Martin Nesměrák,muž,Písařovo pole
2024.0,Lenka Potůčková,žena,Dálnice
2024.0,Jan Hlubek,muž,Tenkrát v Texasu
2024.0,Marcela Mlynářová,žena,Život začíná po přechodu
2024.0,Jana Hrabovská,žena,Poslední zvonění pro vraha
2024.0,Petr Bým,muž,Vraždy v červeném domě
2024.0,Hana Lundiaková,žena,Planetky
2024.0,Alex Walló,muž,Muž vdaných žen
2024.0,Mirka Skočílková,žena,Červená nit osudu
2024.0,Milena Štráfeldová,žena,Friedrich řečený Bedřich
2024.0,Michaela Merglová,žena,Za pět minut zvoní
2024.0,Petr Vydra,muž,Deset deka Dekameronu
2024.0,Dorota Ambrožová,žena,Poslední léto
2024.0,Boris Dočekal,muž,Krátký román o přátelství
2024.0,Jan Šimek,muž,Promrhaná něha
2024.0,David Urban,muž,Vražedná splátka
2024.0,Karla Kubíková,žena,Dům na konci ulice
2024.0,Michal Sirotek,muž,Znamení padlých
2024.0,Pavel Kohout,muž,Taková láska
2024.0,Martina Boučková,žena,Šílená babička
2024.0,Michaela Janečková,žena,Jelita & jitrnice
2024.0,Daniela Šafránková,žena,Za čárou
2024.0,Michal Zmítko,muž,Meč pro krále
2024.0,Tereza Herzogová,žena,Tichá pošta
2024.0,Miriam Blahová,žena,Příběh mateřídoušky
2024.0,Veronika Opatřilová,žena,Píseň L.
2024.0,Iva Hadj Moussa,žena,Těžké duše
2024.0,Tomáš Neuwirth,muž,Sci-fi povídky z Jesenicka
2024.0,Petr Sagitarius,muž,Náraz
2024.0,Johana Kral,žena,Skandální plán
2024.0,Lukáš Křišťan,muž,Bestie v uniformě
2024.0,Jiří Homola,muž,Ovál
2024.0,David Jařab,muž,Amerikánka
2024.0,Ladislav Klimeš,muž,Kolaborant
2024.0,Sára Vůchová,žena,Sphinx
2024.0,Kateřina Surmanová,žena,Tři Sekery
2024.0,Alena Mornštajnová,žena,Útěky někam jinam
2024.0,Petr Bílek,muž,Příběhy (ne)obyčejného sportovního šílenství
2024.0,Šárka Przewozná,žena,Skutečná
2024.0,Ondřej Blaho,muž,Severní den
2024.0,Anna Strnadová,žena,Život na pavoučím vlákně
2024.0,Veronika Vrzalová,žena,"Florencie, moje (sebe)láska"
2024.0,M. K Hardy,žena,Divoká Afrika
2024.0,Petra Klabouchová,žena,Ignis fatuus
2024.0,Kateřina Blažková,žena,"Tifana, dcera Měsíce"
2024.0,Monika Zgustová,žena,Jsem Milena z Prahy
2024.0,Libor Kotačka,muž,Každý má svou duhu
2024.0,Jiří B. Mayer,muž,Závojnatky
2024.0,Eva Michorová,žena,"Zpověď stárnoucí trosky, která má psa"
2024.0,Jan Bauer,muž,Pomsta dánského krále
2024.0,Melita Denková,žena,Královna Viola
2024.0,Anna Moricová,žena,Jako slon v porcelánu
2024.0,Filip Klouda,muž,Neonová cizinka
2024.0,Michal Viewegh,muž,Obyčejná laskavost
2024.0,Veronika Válková,žena,Indie
2024.0,Klára Elšíková,žena,Pacanka
2024.0,Tereza Semotamová,žena,Radikální potřeby
2024.0,Alena Jakoubková,žena,Není sestra jako sestra
2024.0,Vlastimil Vondruška,muž,Prokletí rodu Janoviců
2024.0,Vladimír Kořen,muž,Řeka zázraků
2024.0,Daniela Nacházelová,žena,Krajina těla
2024.0,Lucie Lukačovičová,žena,Chrám Azylu
2024.0,Marie Rejfová,žena,Jak se vaří netopýři
2024.0,Jan Štifter,muž,Krajina roztavených zvonů
2024.0,Ondřej Škrabal,muž,Druhé Německo
2024.0,Adriana Krnáčová,žena,Nemesis
2024.0,Karol Sidon,muž,Lež má krátké nohy
2024.0,Ema Labudová,žena,Ani minuta ticha
2024.0,Marta Knauerová,žena,"Život za krejcar, smrt za dva"
2024.0,D. B. Peck,žena,Sociopat
2024.0,Martina Novotná,žena,Případ mizejících nevěstek
2024.0,Šárka Hieková,žena,Léto na zámku
2024.0,Václav Gruber,muž,Případ ztraceného psa
2024.0,Luděk Kubát,muž,Kdo má právo zabít?
2024.0,Lucie Šilhová,žena,Pozná kardiolog zlomené srdce?
2024.0,Marie Macková,žena,Pod zelenou pečetí
2024.0,Ladislav Beran,muž,Černá smrt
2024.0,Nika Peas,žena,Chráním tě
2024.0,Tomáš Sekerka,muž,Čas krmení
2024.0,Václav Kořínek,muž,Aknael
2024.0,Karel Kostka,muž,Ve jménu minulosti
2024.0,Ondřej Neff,muž,Zlatý pomeranč
2024.0,Hynek Klimek,muž,Staré šumavské legendy
2024.0,Petr Heteša,muž,Tanec na sopce
