DK_isbn,DK_date,DK_titul,DK_rating,DK_ratings_count,DK_tags,DK_Právě_čtených,DK_Přečtených,DK_Čtenářské_výzvě,DK_Knihotéce,DK_Chystám_se_číst,DK_Chci_si_koupit,DK_dalších_seznamech,DK_Doporučených,DK_autorstvo,DK_vyslo
9788024951300,2024-04-02 10:24:00,Kapitánova čest,83.0,36.0,"['Anglie', 'viktoriánská doba', 'romantika', 'historické romance']",2.0,39.0,5.0,58.0,43.0,13.0,1.0,1.0,,
9788027910090,2024-04-02 10:24:01,Zločin přijde po půlnoci,83.0,7.0,"['detektivní a krimi romány', 'české detektivky']",,9.0,,46.0,8.0,2.0,,,,
9788027910113,2024-04-02 10:24:02,Poslední vejde smrt,91.0,15.0,"['detektivní a krimi romány', 'české krimi', 'české detektivky']",,17.0,1.0,39.0,12.0,2.0,,1.0,,
9788076910683,2024-04-02 10:24:03,Kousni se do hlavy!,76.0,9.0,['alkoholismus'],1.0,8.0,5.0,1.0,26.0,5.0,,,,
9788073294847,2024-04-02 10:24:04,Trnková zima,85.0,11.0,[],1.0,14.0,1.0,,4.0,3.0,,,,
9788076339538,2024-04-02 10:24:06,Písnička pro Klaudii,90.0,68.0,"['koně', 'láska', 'hudba', 'rodinné vztahy', 'romantika', 'prázdniny', 'pro dospívající mládež (young adult)']",,61.0,,56.0,29.0,10.0,,5.0,,
9788026724964,2024-04-02 10:24:08,Mezi nimi,89.0,135.0,"['tajemství', 'rodinné vztahy', 'romantika', 'matky a dcery']",6.0,163.0,32.0,89.0,182.0,54.0,5.0,12.0,,
9788011031282,2024-04-02 10:24:10,Poslední heterosexuální komedie,60.0,1.0,[],,2.0,,,,2.0,,,,
9788027909988,2024-04-02 10:24:15,Vražedná krása,81.0,16.0,[],2.0,16.0,1.0,37.0,13.0,1.0,1.0,2.0,,
9788027909872,2024-04-02 10:24:16,Katův odkaz,84.0,106.0,"['vraždy', 'středověk', 'vyšetřování']",2.0,147.0,16.0,84.0,33.0,16.0,1.0,1.0,,
9788027515745,2024-04-02 10:24:20,Uhrwerk,80.0,9.0,[],1.0,11.0,1.0,5.0,6.0,2.0,,,,
9788024950815,2024-04-02 10:24:21,Povídky o lásce,67.0,263.0,[],2.0,566.0,49.0,135.0,27.0,6.0,,5.0,,
9788027722891,2024-04-02 10:24:23,Druhé písně Závišovy,100.0,3.0,[],,2.0,,3.0,1.0,,,,,
9788027722372,2024-04-02 10:24:24,Teorie býka,70.0,53.0,[],1.0,65.0,7.0,63.0,54.0,19.0,2.0,1.0,,
9788075304278,2024-04-02 10:24:25,Poslední divoké objetí,80.0,3.0,[],,3.0,,2.0,2.0,,,1.0,,
9788074754470,2024-04-02 10:24:26,Past na ženicha,82.0,25.0,[],,37.0,4.0,80.0,36.0,16.0,3.0,1.0,,
9788088322429,2024-04-02 10:24:27,"Sex, chlast a bláznivá láska na Pobřeží hříchu",90.0,2.0,"['cestopisné příběhy', 'Thajsko', 'Laos', 'Kambodža', 'erotické povídky']",1.0,2.0,,,1.0,1.0,,,,
9788074754456,2024-04-02 10:24:29,Vřeteno osudu: Mezi kolébkou a hrobem: Román o životě a smrti Karla Jaromíra Erbena,92.0,116.0,"['životopisy, biografie', '19. století', 'romantismus', 'básníci', 'čeští básníci', 'balady', 'české národní obrození', 'čeští spisovatelé', 'historické romány', 'Karel Jaromír Erben, 1811-1870']",6.0,147.0,48.0,78.0,138.0,15.0,4.0,18.0,,
9788027910014,2024-04-02 10:24:30,Kronika hříšného kněze aneb Bestie z Karlštejna,86.0,123.0,"['sadismus', 'týrání', 'Karlštejn', 'historické romány', 'krutost']",1.0,182.0,22.0,107.0,79.0,14.0,2.0,9.0,,
9788025741528,2024-04-02 10:24:31,Pod Kaštanem,77.0,44.0,[],,54.0,4.0,69.0,51.0,7.0,3.0,4.0,,
9788027909995,2024-04-02 10:24:33,Bůh lovu,88.0,12.0,"['Morava', '13. století', 'historické detektivky', 'Buchlov']",1.0,14.0,2.0,40.0,23.0,5.0,1.0,1.0,,
9788027910175,2024-04-02 10:24:34,Banka,84.0,11.0,[],,11.0,1.0,40.0,8.0,4.0,,,,
9788027910199,2024-04-02 10:24:35,Cejch,90.0,251.0,"['první světová válka (1914–1918)', 'druhá světová válka (1939–1945)', 'Krušné hory, Krušnohoří', 'česko-německé vztahy', 'sudetští Němci', 'Sudety', 'pohraničí', 'vysídlení Němců', 'Češi a Němci', 'osidlování pohraničí']",8.0,339.0,33.0,127.0,289.0,56.0,7.0,44.0,,
9788027910151,2024-04-02 10:24:36,Ukradený důkaz,87.0,3.0,"['Krušné hory, Krušnohoří', 'české krimi', 'české detektivky']",1.0,3.0,1.0,39.0,11.0,2.0,,,,
9788027138760,2024-04-02 10:24:39,Dokud nás krev nerozdělí,85.0,17.0,[],1.0,22.0,1.0,52.0,35.0,7.0,1.0,,,
9788088422396,2024-04-02 10:24:40,Kde domov můj,80.0,1.0,"['90. léta 20. století', 'vztahy', 'imigrace', 'práce', 'Češi v Americe']",,1.0,,,,,,,,
9788024288734,2024-04-02 10:24:42,Prokletí domu U Dvou růží,85.0,25.0,[],1.0,32.0,4.0,46.0,26.0,7.0,1.0,,,
9788075464620,2024-04-02 10:24:43,Trnitá cesta,88.0,48.0,['historické romance'],2.0,44.0,3.0,83.0,46.0,19.0,2.0,7.0,,
9788027910250,2024-04-02 10:24:44,Kdo pozdě chodí... manžel mu škodí,63.0,18.0,"['česká literatura', 'Itálie']",1.0,24.0,1.0,48.0,17.0,6.0,2.0,2.0,,
9788027910236,2024-04-02 10:24:45,Kdo ti píše?,80.0,78.0,"['pro ženy', 'partnerské vztahy', 'Řecko', 'romantika', 'manželské hádky', 'dovolená']",,94.0,11.0,69.0,61.0,8.0,3.0,2.0,,
9788027910045,2024-04-02 10:24:47,Smrt hraje vrhcáby,88.0,26.0,['historické detektivky'],2.0,37.0,6.0,49.0,13.0,4.0,1.0,2.0,,
9788027910106,2024-04-02 10:24:49,Předloha pro vraždu,83.0,20.0,[],2.0,23.0,2.0,35.0,14.0,5.0,,,,
9788090846234,2024-04-02 10:24:50,Desatero,71.0,7.0,"['české detektivky', 'české romány']",,11.0,2.0,2.0,25.0,8.0,,,,
9788027910144,2024-04-02 10:24:52,Palec a tichá voda,83.0,31.0,"['detektivní a krimi romány', 'české krimi', 'české detektivky']",,38.0,4.0,38.0,18.0,3.0,1.0,1.0,,
